"DXXOFBMC.Code.or.Value","DXXOFBMC.Value.Description","DXXOFBMC.Count","DXXOFBMC.Cumulative","DXXOFBMC.Skip.to.Item"
"12.7 to 79.51","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
