"DRD370E.Code.or.Value","DRD370E.Value.Description","DRD370E.Count","DRD370E.Cumulative","DRD370E.Skip.to.Item"
"1","Yes",445,445,""
"2","No",4979,5424,"DRD370F"
".","Missing",4338,9762,""
