"URDNO3LC.Code.or.Value","URDNO3LC.Value.Description","URDNO3LC.Count","URDNO3LC.Cumulative","URDNO3LC.Skip.to.Item"
"0","At or above the detection limit",2637,2637,NA
"1","Below lower detection limit",7,2644,NA
".","Missing",111,2755,NA
