"AUXRR165.Code.or.Value","AUXRR165.Value.Description","AUXRR165.Count","AUXRR165.Cumulative","AUXRR165.Skip.to.Item"
"-34 to 84","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
