"AUQ020D.Code.or.Value","AUQ020D.Value.Description","AUQ020D.Count","AUQ020D.Cumulative","AUQ020D.Skip.to.Item"
"1","Yes (checkbox checked)",22,22,NA
"2","No (checkbox unchecked)",452,474,NA
"9","Don't know",3,477,NA
".","Missing",4023,4500,NA
