"SXQ190.Code.or.Value","SXQ190.Value.Description","SXQ190.Count","SXQ190.Cumulative","SXQ190.Skip.to.Item"
"0 to 125","Range of Values",1220,1220,NA
"77777","Refused",1,1221,NA
"99999","Don't know",0,1221,NA
".","Missing",1771,2992,NA
