"AUAEXSTS.Code.or.Value","AUAEXSTS.Value.Description","AUAEXSTS.Count","AUAEXSTS.Cumulative","AUAEXSTS.Skip.to.Item"
"1","Complete",4021,4021,NA
"2","Partial",348,4369,NA
"3","Not done",213,4582,NA
".","Missing",0,4582,NA
