"DR2IATOC.Code.or.Value","DR2IATOC.Value.Description","DR2IATOC.Count","DR2IATOC.Cumulative","DR2IATOC.Skip.to.Item"
"0 to 107.33","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
