"AUDTYL14.Code.or.Value","AUDTYL14.Value.Description","AUDTYL14.Count","AUDTYL14.Cumulative","AUDTYL14.Skip.to.Item"
"0 to 2.59","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
