"BMXWAIST.Code.or.Value","BMXWAIST.Value.Description","BMXWAIST.Count","BMXWAIST.Cumulative","BMXWAIST.Skip.to.Item"
"40.2 to 177.9","Range of Values",8661,8661,NA
".","Missing",1152,9813,NA
