"DEXFCOMM.Code.or.Value","DEXFCOMM.Value.Description","DEXFCOMM.Count","DEXFCOMM.Cumulative","DEXFCOMM.Skip.to.Item"
"Report of Findings comment","Value was recorded",36,36,NA
"< blank >","Missing",2956,2992,NA
