"AUXRR121.Code.or.Value","AUXRR121.Value.Description","AUXRR121.Count","AUXRR121.Cumulative","AUXRR121.Skip.to.Item"
"-41 to 43","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
