"RFXC113.Code.or.Value","RFXC113.Value.Description","RFXC113.Count","RFXC113.Cumulative","RFXC113.Skip.to.Item"
"-7.379 to 5.598","Range of Values",33689,33689,NA
".","Missing",32,33721,NA
