"DXXPT63Y.Code.or.Value","DXXPT63Y.Value.Description","DXXPT63Y.Count","DXXPT63Y.Cumulative","DXXPT63Y.Skip.to.Item"
"88.2 to 330","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
