"URDNALLC.Code.or.Value","URDNALLC.Value.Description","URDNALLC.Count","URDNALLC.Cumulative","URDNALLC.Skip.to.Item"
"0","At or above the detection limit",5176,5176,NA
"1","Below lower detection limit",2181,7357,NA
".","Missing",1078,8435,NA
