"URXUTM.Code.or.Value","URXUTM.Value.Description","URXUTM.Count","URXUTM.Cumulative","URXUTM.Skip.to.Item"
"0.71 to 40.1","Range of Values",2871,2871,NA
".","Missing",70,2941,NA
