"OHQ845.Code.or.Value","OHQ845.Value.Description","OHQ845.Count","OHQ845.Cumulative","OHQ845.Skip.to.Item"
"1","Excellent",1755,1755,NA
"2","Very good",2342,4097,NA
"3","Good",3326,7423,NA
"4","Fair",1688,9111,NA
"5","Poor",651,9762,NA
"7","Refused",1,9763,NA
"9","Don't know",5,9768,NA
".","Missing",2,9770,NA
