"DS1ITFAT.Code.or.Value","DS1ITFAT.Value.Description","DS1ITFAT.Count","DS1ITFAT.Cumulative","DS1ITFAT.Skip.to.Item"
"0.02 to 30","Range of Values",623,623,NA
".","Missing",5335,5958,NA
