"DR1ISELE.Code.or.Value","DR1ISELE.Value.Description","DR1ISELE.Count","DR1ISELE.Cumulative","DR1ISELE.Skip.to.Item"
"0 to 393.4","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
