"DR1TCRYP.Code.or.Value","DR1TCRYP.Value.Description","DR1TCRYP.Count","DR1TCRYP.Cumulative","DR1TCRYP.Skip.to.Item"
"0 to 7296","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
