"MCQ260CG.Code.or.Value","MCQ260CG.Value.Description","MCQ260CG.Count","MCQ260CG.Cumulative","MCQ260CG.Skip.to.Item"
"7","Brother",235,235,"MCQ250E"
".","Missing",10235,10470,""
