"OSD030bc.Code.or.Value","OSD030bc.Value.Description","OSD030bc.Count","OSD030bc.Cumulative","OSD030bc.Skip.to.Item"
"7 to 74","Range of Values",13,13,NA
"80","80 or older",1,14,NA
"77777","Refused",0,14,NA
"99999","Don't know",0,14,NA
".","Missing",3801,3815,NA
