"URXIQ.Code.or.Value","URXIQ.Value.Description","URXIQ.Count","URXIQ.Cumulative","URXIQ.Skip.to.Item"
"0.26 to 9.77","Range of Values",2572,2572,NA
".","Missing",183,2755,NA
