"DR1IM181.Code.or.Value","DR1IM181.Value.Description","DR1IM181.Count","DR1IM181.Cumulative","DR1IM181.Skip.to.Item"
"0 to 90.401","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
