"DR1TCARB.Code.or.Value","DR1TCARB.Value.Description","DR1TCARB.Count","DR1TCARB.Cumulative","DR1TCARB.Skip.to.Item"
"0 to 1815.02","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
