"AUXRR283.Code.or.Value","AUXRR283.Value.Description","AUXRR283.Count","AUXRR283.Cumulative","AUXRR283.Skip.to.Item"
"-24 to 73","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
