"LBDODTLC.Code.or.Value","LBDODTLC.Value.Description","LBDODTLC.Count","LBDODTLC.Cumulative","LBDODTLC.Skip.to.Item"
"0","detectable result",39,39,NA
"1","below detectable limit",2240,2279,NA
".","Missing",268,2547,NA
