"HCQ121.Code.or.Value","HCQ121.Value.Description","HCQ121.Count","HCQ121.Cumulative","HCQ121.Skip.to.Item"
"1","Yes",14,14,""
"2","No",2,16,"HCQ150"
"7","Refused",0,16,"HCQ150"
"9","Don't know",2,18,"HCQ150"
".","Missing",69,87,""
