"AUQ230.Code.or.Value","AUQ230.Value.Description","AUQ230.Count","AUQ230.Cumulative","AUQ230.Skip.to.Item"
"1","Yes",796,796,""
"2","No",4061,4857,"End of Section"
"7","Refused",5,4862,"End of Section"
"9","Don't know",15,4877,"End of Section"
".","Missing",4616,9493,""
