"DS1TPHOS.Code.or.Value","DS1TPHOS.Value.Description","DS1TPHOS.Count","DS1TPHOS.Cumulative","DS1TPHOS.Skip.to.Item"
"0.02 to 1100","Range of Values",632,632,NA
".","Missing",9181,9813,NA
