"LBXSZN.Code.or.Value","LBXSZN.Value.Description","LBXSZN.Count","LBXSZN.Cumulative","LBXSZN.Skip.to.Item"
"38.9 to 160.9","Range of Values",2519,2519,NA
".","Missing",236,2755,NA
