"DS1IPFAT.Code.or.Value","DS1IPFAT.Value.Description","DS1IPFAT.Count","DS1IPFAT.Cumulative","DS1IPFAT.Skip.to.Item"
"0.05 to 18","Range of Values",259,259,NA
".","Missing",5435,5694,NA
