"URXUMO.Code.or.Value","URXUMO.Value.Description","URXUMO.Count","URXUMO.Cumulative","URXUMO.Skip.to.Item"
"0.6 to 839.5","Range of Values",2257,2257,NA
".","Missing",290,2547,NA
