"RFXT145.Code.or.Value","RFXT145.Value.Description","RFXT145.Count","RFXT145.Cumulative","RFXT145.Skip.to.Item"
"1265 to 1273","Range of Values",33673,33673,NA
".","Missing",48,33721,NA
