"AUXLR178.Code.or.Value","AUXLR178.Value.Description","AUXLR178.Count","AUXLR178.Cumulative","AUXLR178.Skip.to.Item"
"-28 to 68","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
