"SXQ636.Code.or.Value","SXQ636.Value.Description","SXQ636.Count","SXQ636.Cumulative","SXQ636.Skip.to.Item"
"1 to 350","Range of Values",1578,1578,NA
"77777","Refused",6,1584,NA
"99999","Don't know",4,1588,NA
".","Missing",3469,5057,NA
