"DS1IPFAT.Code.or.Value","DS1IPFAT.Value.Description","DS1IPFAT.Count","DS1IPFAT.Cumulative","DS1IPFAT.Skip.to.Item"
"0.231 to 11","Range of Values",235,235,NA
".","Missing",5135,5370,NA
