"URXP07.Code.or.Value","URXP07.Value.Description","URXP07.Count","URXP07.Cumulative","URXP07.Skip.to.Item"
"3.5 to 5877.4","Range of Values",2512,2512,NA
".","Missing",185,2697,NA
