"OHQ040.Code.or.Value","OHQ040.Value.Description","OHQ040.Count","OHQ040.Cumulative","OHQ040.Skip.to.Item"
"1","Yes",1163,1163,""
"2","No",1155,2318,"OHQ060"
"7","Refused",5,2323,"OHQ060"
"9","Don't know",9,2332,"OHQ060"
".","Missing",6898,9230,""
