"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"7 to 534","Range of Values",2608,2608,NA
".","Missing",84,2692,NA
