"DXXPT32Y.Code.or.Value","DXXPT32Y.Value.Description","DXXPT32Y.Count","DXXPT32Y.Cumulative","DXXPT32Y.Skip.to.Item"
"99.9 to 344.3","Range of Values",3301,3301,NA
".","Missing",407,3708,NA
