"TYXP108.Code.or.Value","TYXP108.Value.Description","TYXP108.Count","TYXP108.Cumulative","TYXP108.Skip.to.Item"
"-282 to 64","Range of Values",8452,8452,NA
".","Missing",17,8469,NA
