"LBDVDBLC.Code.or.Value","LBDVDBLC.Value.Description","LBDVDBLC.Count","LBDVDBLC.Cumulative","LBDVDBLC.Skip.to.Item"
"0","At or above detection limit",1658,1658,NA
"1","Below lower detection limit",1409,3067,NA
"2","Detectable result and exceeds the calibrated range of assay",0,3067,NA
".","Missing",327,3394,NA
