"DBQ770.Code.or.Value","DBQ770.Value.Description","DBQ770.Count","DBQ770.Cumulative","DBQ770.Skip.to.Item"
"1","Always",172,172,NA
"2","Most of the time",296,468,NA
"3","Sometimes",568,1036,NA
"4","Rarely",345,1381,NA
"5","Never",283,1664,NA
"6","Never seen",0,1664,NA
"7","Refused",0,1664,NA
"9","Don't know",0,1664,NA
".","Missing",381,2045,NA
