"CBQ680.Code.or.Value","CBQ680.Value.Description","CBQ680.Count","CBQ680.Cumulative","CBQ680.Skip.to.Item"
"1","Very important",1410,1410,NA
"2","Somewhat important",737,2147,NA
"3","Not too important",241,2388,NA
"4","Not at all important",48,2436,NA
"7","Refused",0,2436,NA
"9","Don't know",6,2442,NA
".","Missing",503,2945,NA
