"CIQD040.Code.or.Value","CIQD040.Value.Description","CIQD040.Count","CIQD040.Cumulative","CIQD040.Skip.to.Item"
"1","Yes",8,8,NA
"2","No",46,54,NA
"7","Refuse",0,54,NA
"9","Don't know",0,54,NA
".","Missing",796,850,NA
