"DXXPT81Y.Code.or.Value","DXXPT81Y.Value.Description","DXXPT81Y.Count","DXXPT81Y.Cumulative","DXXPT81Y.Skip.to.Item"
"85.2 to 323.6","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
