"DXXAPFAT.Code.or.Value","DXXAPFAT.Value.Description","DXXAPFAT.Count","DXXAPFAT.Cumulative","DXXAPFAT.Skip.to.Item"
"11.4 to 58.5","Range of Values",5425,5425,NA
".","Missing",608,6033,NA
