"CBQ738cd.Code.or.Value","CBQ738cd.Value.Description","CBQ738cd.Count","CBQ738cd.Cumulative","CBQ738cd.Skip.to.Item"
"91","Others",226,226,NA
".","Missing",6173,6399,NA
