"DX2LATOT.Code.or.Value","DX2LATOT.Value.Description","DX2LATOT.Count","DX2LATOT.Cumulative","DX2LATOT.Skip.to.Item"
"1984 to 9448.4","Range of Values",464,464,NA
".","Missing",21,485,NA
