"WBXA042.Code.or.Value","WBXA042.Value.Description","WBXA042.Count","WBXA042.Cumulative","WBXA042.Skip.to.Item"
"-6.5767 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
