"URXMHH.Code.or.Value","URXMHH.Value.Description","URXMHH.Count","URXMHH.Cumulative","URXMHH.Skip.to.Item"
"0.49 to 7438.1","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
