"TBDPPDB.Code.or.Value","TBDPPDB.Value.Description","TBDPPDB.Count","TBDPPDB.Cumulative","TBDPPDB.Skip.to.Item"
"0 to 28","Range of Values",7385,7385,NA
".","Missing",1447,8832,NA
