"DR2TS040.Code.or.Value","DR2TS040.Value.Description","DR2TS040.Count","DR2TS040.Cumulative","DR2TS040.Skip.to.Item"
"0 to 4.666","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
