"LBDF03LC.Code.or.Value","LBDF03LC.Value.Description","LBDF03LC.Count","LBDF03LC.Cumulative","LBDF03LC.Skip.to.Item"
"0","detectable result",1212,1212,NA
"1","below detectable limit",659,1871,NA
".","Missing",414,2285,NA
