"URDCCCLC.Code.or.Value","URDCCCLC.Value.Description","URDCCCLC.Count","URDCCCLC.Cumulative","URDCCCLC.Skip.to.Item"
"0","detectable result",1014,1014,NA
"1","below detectable limit",2034,3048,NA
".","Missing",104,3152,NA
