"SSTOTAL.Code.or.Value","SSTOTAL.Value.Description","SSTOTAL.Count","SSTOTAL.Cumulative","SSTOTAL.Skip.to.Item"
"5.9 to 10","Range of Values",170,170,NA
".","Missing",1871,2041,NA
