"LBDSUASI.Code.or.Value","LBDSUASI.Value.Description","LBDSUASI.Count","LBDSUASI.Cumulative","LBDSUASI.Skip.to.Item"
"95.2 to 1070.6","Range of Values",6254,6254,NA
".","Missing",490,6744,NA
