"DR1IFIBE.Code.or.Value","DR1IFIBE.Value.Description","DR1IFIBE.Count","DR1IFIBE.Cumulative","DR1IFIBE.Skip.to.Item"
"0 to 60.6","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
