"URDTRSLC.Code.or.Value","URDTRSLC.Value.Description","URDTRSLC.Count","URDTRSLC.Cumulative","URDTRSLC.Skip.to.Item"
"0","At or above the detection limit",2052,2052,NA
"1","Below lower detection limit",496,2548,NA
".","Missing",90,2638,NA
