"VTQ280H.Code.or.Value","VTQ280H.Value.Description","VTQ280H.Count","VTQ280H.Cumulative","VTQ280H.Skip.to.Item"
"1","Yes",38,38,NA
"2","No",1423,1461,NA
"7","Refused",3,1464,NA
"9","Don't know",0,1464,NA
".","Missing",25,1489,NA
