"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",5125,5125,NA
"2","Spanish",301,5426,NA
"3","English and Spanish",27,5453,NA
"4","Other",7,5460,NA
"5","5",66,5526,NA
".","Missing",0,5526,NA
