"RFXT145.Code.or.Value","RFXT145.Value.Description","RFXT145.Count","RFXT145.Cumulative","RFXT145.Skip.to.Item"
"1265 to 1273","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
