"LBCHCBLA.Code.or.Value","LBCHCBLA.Value.Description","LBCHCBLA.Count","LBCHCBLA.Cumulative","LBCHCBLA.Skip.to.Item"
"5.5 to 57.1","Range of Values",264,264,NA
".","Missing",0,264,NA
